ID,Status,ItemType,ItemName,Ages,Location,TestID,IsArchived,Stock
BADDS-66,1,Form,Diagnostic Form Children,3 to 12,Second Floor,BADDS,0,12
BADDS-67,1,Form,Diagnostic Form for Adolescents Revised,12 to 18,Second Floor,BADDS,0,25
BADDS-68,1,Form,Adolescent Ready Score Answer Document,,Second Floor,BADDS,0,17
BADDS-69,1,Form,Parent Form Ready Score Answer Document,3 to 7,Second Floor,BADDS,0,6
BADDS-70,1,Form,Teacher Form Ready Score Answer Document,3 to 7,Second Floor,BADDS,0,5
BADDS-71,1,Form,Parent Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,14
BADDS-72,1,Form,Teacher Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,25
BADDS-73,1,Form,Self Report Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,24
BADDS-74,1,Manual,For Adolescents and Adults,,,BADDS,0,11
BADDS-75,1,Form,Adult Readyscore Self-Report Forms/Answer Documents,,,BADDS,0,11
BADDS-76,1,Form,Adult Diagnostic Record Forms,,,BADDS,0,23
BADDS-77,1,Form,Treatment Monitoring Worksheet,,,BADDS,0,1
BAI-78,1,Manual,,,Second Floor,BAI,0,8
BAI-79,1,Form,Record Form,,Second Floor,BAI,0,25
BAI-80,1,Form,Response Sheet,,,BAI,0,11
BAI-81,1,Form,"For remote, on-screen administration",,Online Platform,BAI,0,5
BASC-3-82,1,Manual,,,Second Floor,BASC-3,0,2
BASC-3-83,1,Form,Self-Report Interview (SRP),6 to 7,Second Floor,BASC-3,0,13
BASC-3-84,1,Form,Self-Report Child (SRP),8 to 11,Second Floor,BASC-3,0,9
BASC-3-85,1,Form,Self-Report Adolescent (SRP),,,BASC-3,0,19
BASC-3-86,1,Form,Self-Report College (SRP),18 to 25,Second Floor,BASC-3,0,12
BASC-3-87,1,Form,Parent Rating Scales (PRS) Preschool,2 to 5,Second Floor,BASC-3,0,17
BASC-3-88,1,Form,Teacher Rating Scales (TRS) Preschool,2 to 5,Second Floor,BASC-3,0,10
BASC-3-89,1,Form,Parent Rating Scales (PRS) Child,6 to 11,Second Floor,BASC-3,0,9
BASC-3-90,1,Form,Teacher Rating Scales (TRS) Child,6 to 11,Second Floor,BASC-3,0,9
BASC-3-91,1,Form,Parent Rating Scales (PRS) Adolescent,12 to 21,Second Floor,BASC-3,0,25
BASC-3-92,1,Form,Teacher Rating Scales (TRS) Adolescent,12 to 21,Second Floor,BASC-3,0,20
BASC-3-93,1,Form,Structured Developmental History (SDH),,,BASC-3,0,11
BASC-3-94,1,Form,Student Observation System (SOS),,,BASC-3,0,13
BASC-3-95,1,Manual,,,Online Platform,BASC-3,0,0
BASC-3-96,1,Form,"Administration, scoring and reporting for the TRS, PRS, SRP, SDH, PRQ or SOS",,Online Platform,BASC-3,0,11
Bayley-III-97,1,Manual,Administration Manual,,,Bayley-III,0,8
Bayley-III-98,1,Manual,Technical Manual,,,Bayley-III,0,11
Bayley-III-99,1,Book,Picture Book,,,Bayley-III,0,11
Bayley-III-100,1,Book,Stimulus Book,,,Bayley-III,0,24
Bayley-III-101,1,Form,Observational Checklist,,,Bayley-III,0,0
Bayley-III-102,1,Form,Cognitive Record Forms,,,Bayley-III,0,14
Bayley-III-103,1,Form,Language Record Forms,,,Bayley-III,0,3
Bayley-III-104,1,Form,Motor Record Forms,,,Bayley-III,0,15
Bayley-III-105,1,,Stimulus items/toys,,,Bayley-III,0,8
Bayley-III-106,1,Form,Cognitive Language Motor Record Forms,,Second Floor,Bayley-III,0,20
Bayley-III-107,1,Form,Caregiver Report Forms,,Second Floor,Bayley-III,0,12
Bayley-III-108,1,Form,Social-Emotional and Adaptive Behavior Questionnaire,,Second Floor,Bayley-III,0,1
BCT-109,1,Form,Scoring and Recording Form,,Archive Third Floor,BCT,0,21
BDI-2-110,1,Manual,,,Second Floor,BDI-2,0,3
BDI-2-111,1,Form,Record Form,,Second Floor,BDI-2,0,11
BDI-2-112,1,Form,Response Sheet,,,BDI-2,0,0
Beery PVT and Beery PVS-113,1,Manual,Professional Manual,,Second Floor,Beery PVT and Beery PVS,0,15
Beery PVS-114,1,Form,Record Form 2 - 12,,Second Floor,Beery PVS,0,9
Beery PVT-115,1,Book,Stimulus Card Set,,Second Floor,Beery PVT,0,9
Beery PVT-116,1,Form,Record Form,,Second Floor,Beery PVT,0,18
Beery VMI -117,1,Manual,,,Archive Third Floor,Beery VMI ,0,7
Beery VMI -118,1,Form,Testing Booklet (green) (SHORT FORM),2 through 7,Archive Third Floor,Beery VMI ,0,1
Beery VMI -119,1,Form,Testing Booklet (beige),2 through 18,Archive Third Floor,Beery VMI ,0,8
Beery VMI -120,1,Form,Testing Booklet (blue),2 through 18,Archive Third Floor,Beery VMI ,0,4
Beery VMI -121,1,Manual,,,Second Floor,Beery VMI ,0,16
Beery VMI -122,1,Form,Testing Booklet (green) (FULL FORM),2 through 100,Second Floor,Beery VMI ,0,13
Beery VMI -123,1,Form,Testing Booklet (green) (SHORT FORM),2 through 7,Second Floor,Beery VMI ,0,4
Beery VMI -124,1,Form,Testing Booklet (beige),2 to 100,Second Floor,Beery VMI ,0,0
Beery VMI -125,1,Form,Testing Booklet (blue),2 to 100,Second Floor,Beery VMI ,0,22
BHS-126,1,Manual,***,,Second Floor,BHS,0,15
BHS-127,1,Form,Record Form,,Second Floor,BHS,0,25
BRIEF-128,1,Manual,Professional Manual,,Archive Third Floor,BRIEF,0,13
BRIEF-129,1,Form,Teacher Form,,Archive Third Floor,BRIEF,0,14
BRIEF-130,1,Form,Teacher Form Scoring Summary,,Archive Third Floor,BRIEF,0,14
BRIEF-131,1,Form,Parent Form,,Archive Third Floor,BRIEF,0,5
BRIEF-132,1,Form,Parent Form Scoring Summary,,Archive Third Floor,BRIEF,0,16
BRIEF2-133,1,Manual,Professional Manual,,Second Floor,BRIEF2,0,25
BRIEF2-134,1,Book,Fast Guide,,Second Floor,BRIEF2,0,24
BRIEF2-135,1,Form,Teacher Form,,Second Floor,BRIEF2,0,8
BRIEF2-136,1,Form,Teacher Form Scoring Summary,,Second Floor,BRIEF2,0,12
BRIEF2-137,1,Form,Parent Form,,Second Floor,BRIEF2,0,11
BRIEF2-138,1,Form,Parent Form Scoring Summary,,Second Floor,BRIEF2,0,3
BRIEF2-139,1,Form,Self-Report Form,,Second Floor,BRIEF2,0,21
BRIEF2-140,1,Form,Self-Report Form Scoring Summary,,Second Floor,BRIEF2,0,2
BRIEF2-141,1,Form,Self + score reports,,Online Platform,BRIEF2,0,15
BRIEF2-142,1,Form,Parent Form + score reports,,Online Platform,BRIEF2,0,13
BRIEF2-143,1,Form,Teacher Form + score reports,,Online Platform,BRIEF2,0,0
BRIEF-A-144,1,Manual,Professional Manual,,Second Floor,BRIEF-A,0,10
BRIEF-A-145,1,Form,Informant Report Form,,Second Floor,BRIEF-A,0,18
BRIEF-A-146,1,Form,Informant Report Scoring Summary,,Second Floor,BRIEF-A,0,13
BRIEF-A-147,1,Form,Self-Report Form,,Second Floor,BRIEF-A,0,24
BRIEF-A-148,1,Form,Self-Report Scoring Summary,,Second Floor,BRIEF-A,0,12
BRIEF-A-149,1,Form,Self-Report/Informant i-Admin/Score Report,,Online Platform,BRIEF-A,0,15
BRIEF-P-150,1,Manual,Professional Manual,,Second Floor,BRIEF-P,0,19
BRIEF-P-151,1,Form,Rating Form,,Second Floor,BRIEF-P,0,7
BRIEF-P-152,1,Form,Preschool Scoring Summary,,Second Floor,BRIEF-P,0,15
BRIEF-SR-153,1,Manual,Professional Manual,,Second Floor,BRIEF-SR,0,21
BRIEF-SR-154,1,Form,Rating Form,,Second Floor,BRIEF-SR,0,4
BRIEF-SR-155,1,Form,Self-Report Scoring Summary,,Second Floor,BRIEF-SR,0,17
BSRA-3-156,1,Manual,Examiner's Manual,,Second Floor,BSRA-3,0,18
BSRA-3-157,1,Book,Stimulus Book,,Second Floor,BSRA-3,0,8
BSRA-3-158,1,Form,Record Form,,Second Floor,BSRA-3,0,7
BSRA-3-159,1,Form,Parent/Teacher Conference Form,,Second Floor,BSRA-3,0,12
BSS-160,1,Manual,,,Second Floor,BSS,0,24
BSS-161,1,Form,Record Form,,Second Floor,BSS,0,6
BSS-162,1,Form,Response Sheet,,,BSS,0,24
BVRT-163,1,Kit,Books and booklets,,Archive Third Floor,BVRT,0,20
BYI-2-164,1,Manual,,,,BYI-2,0,25
BYI-2-165,1,Form,Combination Booklet,,Second Floor,BYI-2,0,17
BYI-2-166,1,Form,Depression Inventory Response Sheet,,,BYI-2,0,20
BYI-2-167,1,Form,Anxiety Inventory Response Sheet,,,BYI-2,0,24
BYI-2-168,1,Form,Anger Inventory Response Sheet,,,BYI-2,0,14
BYI-2-169,1,Form,Disruptive Behavior Inventory Response Sheet,,,BYI-2,0,6
BYI-2-170,1,Form,Self Concept Inventory Response Sheet,,,BYI-2,0,20
CAARS-O:L-171,1,Form,Record Form,,Second Floor,CAARS-O:L,0,17
CAARS-O:S-172,1,Form,Record Form,,Second Floor,CAARS-O:S,0,17
CAARS-O:SV-173,1,Form,Record Form,,Second Floor,CAARS-O:SV,0,7
CAARS-S:L-174,1,Form,Record Form,,Second Floor,CAARS-S:L,0,18
CAARS-S:S-175,1,Form,Record Form,,Second Floor,CAARS-S:S,0,16
CAARS-S:SV-176,1,Form,Record Form,,Second Floor,CAARS-S:SV,0,0
CAARS-177,1,Manual,Technical Manual,,Second Floor,CAARS,0,25
CAARS-178,1,Form,Profile Report,,Online Platform,CAARS,0,17
CAI-179,1,Manual,,,Archive Third Floor,CAI,0,3
CARS-180,1,Manual,,,Archive Third Floor,CARS,0,7
CARS-181,1,Form,Rating Sheet,,Archive Third Floor,CARS,0,22
CARS2-182,1,Manual,,,Second Floor,CARS2,0,21
CARS2-HF-183,1,Form,Rating Booklet,,Second Floor,CARS2-HF,0,5
CARS2-QPC-184,1,Form,Rating Booklet,,Second Floor,CARS2-QPC,0,20
CARS2-ST-185,1,Form,Rating Booklet,,Second Floor,CARS2-ST,0,21
CASS:L-186,1,Form,Feedback Form,,Second Floor,CASS:L,0,3
CBOCI-187,1,Manual,,,Second Floor,CBOCI,0,4
CBOCI-188,1,Form,Record Form,,Second Floor,CBOCI,0,2
CDI-189,1,Manual,,,Archive Third Floor,CDI,0,25
CDI-190,1,Form,Record Form,,Archive Third Floor,CDI,0,10
CDI-191,1,Manual,Technical Manual,,Archive Third Floor,CDI,0,4
CDI-192,1,Form,Record Form,,Archive Third Floor,CDI,0,1
CDI 2-193,1,Manual,Technical Manual,,Second Floor,CDI 2,0,2
CDI 2-194,1,Form,Parent,,Second Floor,CDI 2,0,6
CDI 2-195,1,Form,Teacher,,Second Floor,CDI 2,0,6
CDI 2-196,1,Form,Self-Report,,Second Floor,CDI 2,0,16
CDI 2-197,1,Form,Self-Report Short,,Second Floor,CDI 2,0,4
CDS-198,1,Manual,,,Archive Third Floor,CDS,0,10
CDS-199,1,Form,Record Form Third Revision (1976),,Archive Third Floor,CDS,0,7
CELF-4-200,1,Install Disk,Scoring Assistant Windows Version 1.0,,Archive Third Floor,CELF-4,0,16
CELF-4-201,1,CD,Scoring Assistant Windows Version 1.0.2,,Archive Third Floor,CELF-4,0,0
CELF-4-202,1,Form,Record Form 1,5 to 8,Archive Third Floor,CELF-4,0,24
CELF-4-203,1,Form,Record Form 2,9 to 21,Archive Third Floor,CELF-4,0,5
CELF-4-204,1,Form,Observational Rating Scale,,Archive Third Floor,CELF-4,0,7
CELF-4-205,1,Kit,Manual and testing books,,Archive Third Floor,CELF-4,0,22
CELF-5 Metalinguistics-206,1,Kit,Kit Contents: -Examiner's Manual  -Technical Manual   -Stimulus Book -Record Form (found on second floor in filing cabinet),,Second Floor,CELF-5 Metalinguistics,0,4
CELF-5 Metalinguistics-207,1,Form,Record Form,,Second Floor,CELF-5 Metalinguistics,0,21
CII-208,1,Manual,Directions for Administering,,Second Floor,CII,0,11
CII-209,1,Form,Exploring Interests: An Introduction to the Career Interest Inventory,,Second Floor,CII,0,9
CII-210,1,Form,Answer Document Machine-Scorable Edition Type 1 Level 1,,Second Floor,CII,0,24
CII-211,1,Form,Hand-Scorable Booklet Level 2,,Second Floor,CII,0,14
CISS-212,1,Manual,,,Archive Third Floor,CISS,0,12
CISS-213,1,Form,Record Form Adolescent,,Archive Third Floor,CISS,0,6
CISS-214,1,Manual,,,Archive Third Floor,CISS,0,9
CMS-215,1,Form,Record Form,5 to 8,Second Floor,CMS,0,1
CMS-216,1,Form,Record Form,9 to 16,Second Floor,CMS,0,11
CMS-217,1,Manual,,,,CMS,0,1
CMS-218,1,Form,Stimulus Booklet #1,,,CMS,0,25
CMS-219,1,Form,Stimulus Booklet #2,,,CMS,0,24
CMS-220,1,,Response Chip Set,,,CMS,0,9
CMS-221,1,,Grid and Picture Set,,,CMS,0,5
Conners 3-222,1,Manual,,,Second Floor,Conners 3,0,18
Conners 3-223,1,USB Stick,,,Ask Clinic Admin,Conners 3,0,3
Conners 3-224,1,Form,Self-Report  Response Booklet,,Second Floor,Conners 3,0,13
Conners 3-225,1,Form,Self-Report Short,,Second Floor,Conners 3,0,11
Conners 3-226,1,Form,Teacher Response Booklet,,Second Floor,Conners 3,0,8
Conners 3-227,1,Form,Teacher Short,,Second Floor,Conners 3,0,21
Conners 3-228,1,Form,Parent Response Booklet,,Second Floor,Conners 3,0,2
Conners 3-229,1,Form,Parent Short,,Second Floor,Conners 3,0,24
Conners 3-230,1,,DSM-5 Supplement,,,Conners 3,0,1
Conners 3-231,1,Scoring,,,Computer-184 Side,Conners 3,0,15
Conners 3-232,1,Scoring,,,Computer-186 Side,Conners 3,0,9
Conners 3-233,1,Form,Self-Report/Parent/Teacher,,Online Platform,Conners 3,0,23
CPRS-48-234,1,Form,Record Form,,Archive Third Floor,CPRS-48,0,17
CPRS-93-235,1,Form,Record Form,,Archive Third Floor,CPRS-93,0,21
CPT II-236,1,Manual,Computer Program for Windows Technical Guide and Software Manual******,,Archive Third Floor,CPT II,0,2
CRI-237,1,Manual,Adult Form Professional Manual,,Second Floor,CRI,0,25
CRI-238,1,Form,Adult Item Booklet—Actual Form,,Second Floor,CRI,0,4
CRI-239,1,Form,Adult Answer Sheet,,Second Floor,CRI,0,23
CRI-240,1,Form,Adult Item Booklet—Ideal Form,,,CRI,0,13
CRI-241,1,Manual,An Update on Research Applications and Validity (Manual Supplement),,,CRI,0,9
CRI-242,1,Manual,Youth Form Professional Manual,,,CRI,0,22
CRI-243,1,Form,Youth Item Booklet—Actual Form,,,CRI,0,9
CRI-244,1,Form,Youth Item Booklet—Ideal Form,,,CRI,0,15
CRI-245,1,Form,Youth Answer Sheet,,,CRI,0,6
CRS-246,1,Manual,,,Archive Third Floor,CRS,0,24
CRS-R-247,1,Manual,Technical Manual,,Archive Third Floor,CRS-R,0,14
CTONI-2-248,1,Kit,Kit Contents: -Manual -Analogies Picture Book  -Categories Picture Book -Sequences Picture Book -Record Form (found on second floor in filing cabinet),,Second Floor,CTONI-2,0,8
CTONI-2-249,1,Form,Record Form,,Second Floor,CTONI-2,0,23
CTOPP-250,1,Manual,Examiner's Manual,,Archive Third Floor,CTOPP,0,24
CTOPP-251,1,Book,Picture Book,,Archive Third Floor,CTOPP,0,22
CTOPP-252,1,CD,,,Archive Third Floor,CTOPP,0,17
CTOPP-253,1,Form,Profile/Examiner Record Booklet,5 and 6,Archive Third Floor,CTOPP,0,15
CTOPP-254,1,Form,Profile/Examiner Record Booklet,7 through 24,Archive Third Floor,CTOPP,0,2
CTOPP-2-255,1,Kit,Kit Contents: -Manual -Supplemental Subtests CD -Core Subtests CD -Picture Book -Examiner Record Booklet Ages 4 to 6 (found on second floor in filing cabinet) -Examiner Record Booklet Ages 7 to 24 (found on second floor in filing cabinet),,Second Floor,CTOPP-2,0,17
CTOPP-2-256,1,Form,Examiner Record  Booklet,4 to 6,Second Floor,CTOPP-2,0,21
CTOPP-2-257,1,Form,Examiner Record  Booklet,7 to 24,Second Floor,CTOPP-2,0,16
CTRS-R:L-258,1,Form,Record Form,,Archive Third Floor,CTRS-R:L,0,10
CTRS-28-259,1,Form,Record Form,,Archive Third Floor,CTRS-28,0,11
CTRS-39-260,1,Form,Record Form,,Archive Third Floor,CTRS-39,0,19
CVLT-261,1,Manual,Research Edition Adult Version Version 1,,Archive Third Floor,CVLT,0,8
CVLT-262,1,Form,Research Edition Adult Version,,Archive Third Floor,CVLT,0,22
CVLT-II -263,1,CD,Comprehensive Scoring System Windows Version 1.0,,Second Floor,CVLT-II ,0,3
CVLT-II -264,1,Install Disk,Comprehensive Scoring System Windows Version 1.0,,Second Floor,CVLT-II ,0,23
CVLT-II -265,1,Manual,,,Second Floor,CVLT-II ,0,24
CVLT-II -266,1,Form,Short Form,,Second Floor,CVLT-II ,0,8
CVLT-II -267,1,Form,Standard Form,,Second Floor,CVLT-II ,0,9
CVLT-II -268,1,Form,Alternate Form,,Second Floor,CVLT-II ,0,21
CVLT-C-269,1,Manual,,,Second Floor,CVLT-C,0,22
CVLT-C-270,1,Form,Record Form,,Second Floor,CVLT-C,0,24
DAP-271,1,Manual,,,Second Floor,DAP,0,23
DAP-272,1,Book,Scoring Chart,,Second Floor,DAP,0,21
DAS-273,1,Form,Basic Number Skills,,Archive Third Floor,DAS,0,4
DAS-274,1,Form,Preschool Record Form,,Archive Third Floor,DAS,0,15
DAS-275,1,Form,School-Age Record Form,,Archive Third Floor,DAS,0,6
DAS-276,1,Form,Speed of Information Processing Booklet A,,Archive Third Floor,DAS,0,14
DAS-277,1,Form,Speed of Information Processing Booklet B,,Archive Third Floor,DAS,0,15
DAS-278,1,Form,Speed of Information Processing Booklet C,,Archive Third Floor,DAS,0,15
DAS-279,1,Form,Sequential and Quantitative Reasoning (Set A),,Archive Third Floor,DAS,0,12
DAS-II-280,1,Form,Early Years Record Form,,Second Floor,DAS-II,0,10
DAS-II-281,1,Form,School-Age Record Form,,Second Floor,DAS-II,0,7
DAS-II-282,1,Form,Speed of Information Processing Response Booklet A,,Second Floor,DAS-II,0,8
DAS-II-283,1,Form,Speed of Information Processing Response Booklet B,,Second Floor,DAS-II,0,13
DAS-II-284,1,Form,Speed of Information Processing Response Booklet C,,Second Floor,DAS-II,0,24
DAS-II-285,1,Book,Stimulus Book 1,,,DAS-II,0,2
DAS-II-286,1,Book,Stimulus Book 2,,,DAS-II,0,6
DAS-II-287,1,Book,Stimulus Book 3,,,DAS-II,0,22
DAS-II-288,1,Book,Stimulus Book 4,,,DAS-II,0,17
DAS-II-289,1,Manual,Administration and Scoring Manual ,,,DAS-II,0,7
DAS-II-290,1,Manual,Normative Update School-Age Manual ,,,DAS-II,0,25
DAS-II-291,1,Manual,Introductory and Technical Manual ,,,DAS-II,0,11
DAS-II-292,1,Manual,Early Years Normative Data Tables Manual ,,,DAS-II,0,17
DAS-II-293,1,Manual,Administration and Scoring Manual,,,DAS-II,0,24
DAS-II-294,1,,Test materials/stimulus items/toys,,,DAS-II,0,11
D-KEFS-295,1,Install Disk,Scoring Assistant Windows Version 1.0.2,,Second Floor,D-KEFS,0,6
D-KEFS-296,1,CD,Scoring Assistant Windows Version 1.0.2,,Second Floor,D-KEFS,0,16
D-KEFS-297,1,CD,Scoring Assistant Windows Version 2.0.1,,Second Floor,D-KEFS,0,20
D-KEFS-298,1,Kit,Kit Contents: -Examiner's and Technical Manual -Stimulus Booklet  -Sorting Cards (3 sets of 6 cards each) -1 Tower stand with 5 color disks -Standard Record Forms  -Design Fluency Response Booklets  -Trail Making Response Booklet sets (each set contains Response Booklets for the 5 Trail Making conditions),,Second Floor,D-KEFS,0,4
D-KEFS-299,1,Form,Standard Record Form,,Second Floor,D-KEFS,0,2
D-KEFS-300,1,Form,Design Fluency Test  Condition 1 - Filled Dots,,Second Floor,D-KEFS,0,13
D-KEFS-301,1,Form,Trail Making Test  Condition 1 - Visual Scanning,,Second Floor,D-KEFS,0,3
D-KEFS-302,1,Form,Trail Making Test  Condition 2 - Number Sequencing,,Second Floor,D-KEFS,0,22
D-KEFS-303,1,Form,Trail Making Test  Condition 3 - Letter Sequencing,,Second Floor,D-KEFS,0,3
D-KEFS-304,1,Form,Trail Making Test  Condition 4 - Number-Letter Switching,,Second Floor,D-KEFS,0,15
D-KEFS-305,1,Form,Trail Making Test  Condition 5 - Motor Speed,,Second Floor,D-KEFS,0,20
D-KEFS-306,1,Form,Color-Word Interference Test: Standard Record Form,,Second Floor,D-KEFS,0,14
D-KEFS-307,1,Scoring,,,Computer-184 Side,D-KEFS,0,25
DMI-308,1,Kit,,,Archive Third Floor,DMI,0,17
DTS-309,1,Manual,,,Archive Third Floor,DTS,0,17
DTS-310,1,Form,Record Form,,Archive Third Floor,DTS,0,0
EDI-2-311,1,Manual,Professional Manual,,Archive Third Floor,EDI-2,0,25
EDI-2-312,1,Form,Answer Sheet,,Archive Third Floor,EDI-2,0,13
EDI-3-313,1,Manual,Professional Manual,,Second Floor,EDI-3,0,1
EDI-3-314,1,Form,Item Booklet,,Second Floor,EDI-3,0,9
EDI-3-315,1,Form,Answer Sheet,,Second Floor,EDI-3,0,6
EDI-3-316,1,Form,Percentile/T-Score Profile Form,,,EDI-3,0,5
EDI-3-317,1,Form,Symptom Checklist,,,EDI-3,0,8
EDI-3-318,1,Manual,Referral Form Manual,,,EDI-3,0,9
EDI-3-319,1,Form,Referral Form,,,EDI-3,0,25
EVT-3-320,1,Kit,Kit Contents: - Manual and question book Form A,,Second Floor,EVT-3,0,15
EVT-3-321,1,Form,Record Form Form A,,Second Floor,EVT-3,0,10
FRT-322,1,Manual,,,Second Floor,FRT,0,25
